Arquivo,Offset,Antes,Depois
GROUP01.BIN,0x4A484,Kaoru^c É... mas antes vamos tentar usar^c a bola de cristal!,Kaoru^c É... mas antes vamos tentar usar^c o cristal!
GROUP01.BIN,0x4A598,"Kaoru^c Então a bola de cristal é mesmo a^c chave. Com ela, podemos libertar^c quem está sendo controlado.","Kaoru^c Então o cristal é mesmo a^c chave. Com ele, podemos libertar^c quem está sendo controlado."
GROUP01.BIN,0x4A630,Kaoru^c Que barulho é esse!? A bola de^c cristal está vibrando!?,Kaoru^c Que barulho é esse!? O cristal^c está vibrando!?
GROUP01.BIN,0x4A6BC,"Kaoru^c Mesmo assim, a bola de cristal é^c mesmo a chave. Com ela, podemos^c libertar quem está sendo^c controlado.","Kaoru^c Mesmo assim, o cristal é^c mesmo a chave. Com ele, podemos^c libertar quem está sendo^c controlado."
GROUP01.BIN,0x4A7F0,Midori^c Vocês expulsaram a gente e ainda^c roubaram a bola de cristal do^c mestre Nezu!,Midori^c Vocês expulsaram a gente e ainda^c roubaram o cristal do^c mestre Nezu!
GROUP01.BIN,0x4B5C8,c6Sanosuke Sagarac7 entrou no grupo!^cc6Fragmento Ro 3c7 obtido!!,c6Sanosuke Sagarac7 entrou no grupo!^cc6Frag. Ro-3c7 obtido!!
GROUP01.BIN,0x4BDB4,c6Fruto vermelhoc7 obtido!,c6Fruto rubroc7 obtido!
GROUP01.BIN,0x4C434,Quer receber o fruto vermelho?^s,Quer receber o fruto rubro?^s
GROUP01.BIN,0x4CF2C,"Gonta^c Há vários itens que você pode^c usar em batalha. Se aprender a^c usar Erva Amarela e Feijão de^c Bambu, suas chances de vencer vão^c subir muito!","Gonta^c Há vários itens que você pode^c usar em batalha. Se aprender a^c usar Erva amarela e Grão^c damasco, suas chances de vencer vão^c subir muito!"
GROUP01.BIN,0x4DD78,Misuzu^c Bem-vindo! Quer legumes^c fresquinhos direto da roça? A^c recomendação de hoje é um^c alimento saudável: um fruto^c vermelho que também serve de^c remédio.,Misuzu^c Bem-vindo! Quer legumes^c fresquinhos direto da roça? A^c recomendação de hoje é um^c alimento saudável: um fruto^c rubro que também serve de^c remédio.
GROUP01.BIN,0x4E0C8,"Torajiro^c Se estiver à beira da morte,^c gordura de urso ajuda mais que^c tintura hemostática.","Torajiro^c Se estiver à beira da morte,^c óleo de urso ajuda mais que^c tintura."
GROUP02.BIN,0x314C8,Você recebeu c6grama de couroc7!,Você recebeu c6Erva de couroc7!
GROUP02.BIN,0x3211E,"fuMegumi^c Alguém está com tosse? Para preparar o remédio, preciso de 'flor roxa' e 'fruto vermelho'. ^N, traga  os dois para mim.","fuMegumi^c Alguém está com tosse? Para preparar o remédio, preciso de 'flor roxa' e 'fruto rubro'. ^N, traga  os dois para mim."
GROUP02.BIN,0x321A4,Megumi^c 'Flor roxa' e 'fruto vermelho'. Não se confunda.,Megumi^c 'Flor roxa' e 'fruto rubro'. Não se confunda.
GROUP02.BIN,0x32308,Você recebeu c6remédio preparadoc7!,Você recebeu c6Rem. prontoc7!
GROUP02.BIN,0x3238B,SVocê entregou a c6flor do jardim       subterrâneoc7!,SVocê entregou a c6Flor subsoloc7!
GROUP02.BIN,0x32BD4,Você recebeu c6raiz azulc7!,Você recebeu c6Raiz azulc7!
GROUP02.BIN,0x32BF1,^N.Você recebeu c6fruto brancoc7!,^N.Você recebeu c6Fruto brancoc7!
GROUP02.BIN,0x32FF0,Kaoru^c Que flores bonitas nesse fruto      branco!,Kaoru^c Que flores bonitas nesse fruto branco!
GROUP02.BIN,0x3331D,bukDr. Gensai^c Flor roxa e fruto vermelho? Crianças do cortiço adoram a flor roxa. Às   vezes há frutos vermelhos na         quitanda.,bukDr. Gensai^c Flor roxa e fruto rubro? Crianças do cortiço adoram a flor roxa. Às   vezes há frutos vermelhos na         quitanda.
GROUP02.BIN,0x3344E, LVocê recebeu c6remédio da Megumic7!, LVocê recebeu c6Rem. Megumic7!
GROUP03.BIN,0x37D64,c6Metade R-1 c7obtida!!,c6Frag. Ro-1 c7obtida!!
GROUP04.BIN,0x22D04,c6Kyochikutoc7 obtido!,c6Grão damascoc7!
GROUP04.BIN,0x22D1C,c6Tenmondoc7 obtido!,c6Raiz aspargoc7!
GROUP04.BIN,0x22D34,c6Kusanoc7 obtido!,c6Erva amarelac7!
GROUP04.BIN,0x22D64,Não cabe mais c6Kyochikutoc7.,Sem espaço: c6Grão damascoc7.
GROUP04.BIN,0x22D84,Não cabe mais c6Tenmondoc7.,Sem espaço: c6Raiz aspargoc7.
GROUP04.BIN,0x22DA4,Não cabe mais c6Kusanoc7.,Limite: c6Erva amarelac7.
GROUP04.BIN,0x22E50,c6Gyukakusoc7 obtido!,c6Erva de couroc7!
GROUP04.BIN,0x22E68,Não cabe mais c6Gyukakusoc7.,Não cabe mais c6Erva de couroc7.
GROUP05.BIN,0x20CAC,c6Pílula de Garançac7 obtida!,c6Pílula rubrac7 obtida!
GROUP05.BIN,0x20CCC,c6Erva Couro-de-Boic7 obtida!,c6Erva de couroc7 obtida!
GROUP05.BIN,0x20CEC,c6Guarnição de Vanguardac7 obtida!,c6Guarn. vang.c7 obtida!
GROUP05.BIN,0x20D14,c6Obra-Prima Anônimac7 obtida!,c6Obra anônimac7 obtida!
GROUP05.BIN,0x20D48,Não pode levar mais c6Pílulas de Garançac7.,Não pode levar mais c6Pílula rubrac7.
GROUP05.BIN,0x20D78,Não pode levar mais c6Ervas Couro-de-Boic7.,Não pode levar mais c6Erva de couroc7.
