ID,Nome padronizado,Caracteres,Genero
1,Tintura,7,f
2,Óleo de urso,12,m
3,Jintan,6,m
4,Erva de couro,13,f
5,Raiz aspargo,12,f
6,Pílula verde,12,f
7,Grão damasco,12,m
8,Erva amarela,12,f
9,Pílula rubra,12,f
10,Guia marcial,12,m
11,Seg. marcial,12,m
12,Amul. tático,12,m
13,Casco,5,m
14,Pérola,6,f
15,Ágata,5,f
16,Coral,5,m
17,Âmbar,5,m
18,Lazúli,6,m
19,Jade,4,m
20,Erva Benkei,11,f
21,Pílula cobra,12,f
22,Píl. Itadori,12,f
23,Pílula azeda,12,f
24,Kit viagem,10,m
25,Sakabato,8,f
26,Sakabato Shin,13,f
30,Bokken bétula,13,m
31,Bokken octog.,13,m
33,Bokken Biwa,11,m
34,Bokken ébano,12,m
35,Kodachi,7,f
39,Obra anônima,12,f
40,Guarn. vang.,12,f
45,Kiyomaro,8,f
46,Muramasa,8,f
48,Kiyomitsu,9,f
49,Kotetsu,7,f
50,Ichimonji,9,f
51,Kogarasu,8,f
53,Seiran,6,f
54,Toun,4,f
56,Kuji-kiri,9,f
59,Capa amianto,12,f
60,Capa de ferro,13,f
62,Faixa,5,f
63,Hachigane,9,m
64,Luvas couro,11,fp
65,Manopla,7,f
66,Cota malha,10,f
67,Cota amianto,12,f
70,Frag. I-1,9,m
71,Frag. I-2,9,m
72,Frag. I-3,9,m
73,Frag. Ro-1,10,m
74,Frag. Ro-2,10,m
75,Frag. Ro-3,10,m
76,Frag. Ha-1,10,m
77,Frag. Ha-2,10,m
78,Frag. Ha-3,10,m
79,Cristal,7,m
80,Alga verde,10,f
81,Alga amarela,12,f
82,Alga marrom,11,f
83,Alga azul,9,f
84,Antídoto,8,m
85,Chave grande,12,f
86,Flor subsolo,12,f
87,Faixa suja,10,f
88,Caderno,7,m
89,Carta cantora,13,f
90,Livro de Fogo,13,m
91,Chave flor,10,f
92,Chave pássaro,13,f
93,Chave vento,11,f
94,Chave lua,9,f
95,Chave neve,10,f
96,Chave terra,11,f
97,Chave água,10,f
98,Chave fogo,10,f
106,Bala,4,f
107,Kashiwa,7,m
108,Manju,5,m
109,Dango,5,m
110,Senbei,6,m
111,Mizuame,7,m
112,Biscoito,8,m
113,Chocolate,9,m
116,Flor vermelha,13,f
117,Flor amarela,12,f
118,Flor azul,9,f
119,Flor branca,11,f
120,Flor rosa,9,f
121,Flor roxa,9,f
122,Fruto rubro,11,m
123,Fruto amarelo,13,m
124,Fruto rosa,10,m
125,Fruto branco,12,m
126,Fruto azul,10,m
127,Raiz roxa,9,f
128,Raiz vermelha,13,f
129,Espada antiga,13,f
130,Rem. pronto,11,m
137,Raiz azul,9,f
138,Rem. Megumi,11,m
140,Flor,4,f
172,Carta Aoshi,11,f
173,Incensário,10,m
174,Gato dourado,12,m
